REPORTE DE TOKENS
--------------------------------------------------
Token: RESERVADA       | Lexema: main            | Fila:   1 | Col:   1
Token: SIMBOLO         | Lexema: {               | Fila:   2 | Col:   1
Token: RESERVADA       | Lexema: int             | Fila:   3 | Col:   1
Token: ID              | Lexema: x               | Fila:   3 | Col:   5
Token: SIMBOLO         | Lexema: ,               | Fila:   3 | Col:   6
Token: ID              | Lexema: y               | Fila:   3 | Col:   7
Token: SIMBOLO         | Lexema: ,               | Fila:   3 | Col:   8
Token: ID              | Lexema: z               | Fila:   3 | Col:   9
Token: SIMBOLO         | Lexema: ;               | Fila:   3 | Col:  10
Token: RESERVADA       | Lexema: float           | Fila:   4 | Col:   1
Token: ID              | Lexema: a               | Fila:   4 | Col:   7
Token: SIMBOLO         | Lexema: ,               | Fila:   4 | Col:   8
Token: ID              | Lexema: b               | Fila:   4 | Col:   9
Token: SIMBOLO         | Lexema: ,               | Fila:   4 | Col:  10
Token: ID              | Lexema: c               | Fila:   4 | Col:  11
Token: SIMBOLO         | Lexema: ;               | Fila:   4 | Col:  12
Token: ID              | Lexema: suma            | Fila:   5 | Col:   2
Token: ASIGNACION      | Lexema: =               | Fila:   5 | Col:   6
Token: ENTERO          | Lexema: 45              | Fila:   5 | Col:   7
Token: SIMBOLO         | Lexema: ;               | Fila:   5 | Col:   9
Token: ID              | Lexema: x               | Fila:   6 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:   6 | Col:   2
Token: REAL            | Lexema: 32.32           | Fila:   6 | Col:   3
Token: SIMBOLO         | Lexema: ;               | Fila:   6 | Col:   8
Token: ID              | Lexema: x               | Fila:   7 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:   7 | Col:   2
Token: ENTERO          | Lexema: 23              | Fila:   7 | Col:   3
Token: SIMBOLO         | Lexema: ;               | Fila:   7 | Col:   5
Token: ID              | Lexema: y               | Fila:   8 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:   8 | Col:   2
Token: ENTERO          | Lexema: 2               | Fila:   8 | Col:   3
Token: OP_ARITMETICO   | Lexema: +               | Fila:   8 | Col:   4
Token: ENTERO          | Lexema: 3               | Fila:   8 | Col:   5
Token: OP_ARITMETICO   | Lexema: -               | Fila:   8 | Col:   6
Token: ENTERO          | Lexema: 1               | Fila:   8 | Col:   7
Token: SIMBOLO         | Lexema: ;               | Fila:   8 | Col:   8
Token: ID              | Lexema: z               | Fila:   9 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:   9 | Col:   2
Token: ID              | Lexema: y               | Fila:   9 | Col:   3
Token: OP_ARITMETICO   | Lexema: +               | Fila:   9 | Col:   4
Token: ENTERO          | Lexema: 7               | Fila:   9 | Col:   5
Token: SIMBOLO         | Lexema: ;               | Fila:   9 | Col:   6
Token: ID              | Lexema: y               | Fila:  10 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  10 | Col:   2
Token: ID              | Lexema: y               | Fila:  10 | Col:   3
Token: OP_ARITMETICO   | Lexema: +               | Fila:  10 | Col:   4
Token: ENTERO          | Lexema: 1               | Fila:  10 | Col:   5
Token: SIMBOLO         | Lexema: ;               | Fila:  10 | Col:   6
Token: ID              | Lexema: a               | Fila:  11 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  11 | Col:   2
Token: REAL            | Lexema: 24.0            | Fila:  11 | Col:   3
Token: OP_ARITMETICO   | Lexema: +               | Fila:  11 | Col:   7
Token: ENTERO          | Lexema: 4               | Fila:  11 | Col:   8
Token: OP_ARITMETICO   | Lexema: -               | Fila:  11 | Col:   9
Token: ENTERO          | Lexema: 1               | Fila:  11 | Col:  10
Token: OP_ARITMETICO   | Lexema: /               | Fila:  11 | Col:  11
Token: ENTERO          | Lexema: 3               | Fila:  11 | Col:  12
Token: OP_ARITMETICO   | Lexema: *               | Fila:  11 | Col:  13
Token: ENTERO          | Lexema: 2               | Fila:  11 | Col:  14
Token: OP_ARITMETICO   | Lexema: +               | Fila:  11 | Col:  15
Token: ENTERO          | Lexema: 34              | Fila:  11 | Col:  16
Token: OP_ARITMETICO   | Lexema: -               | Fila:  11 | Col:  18
Token: ENTERO          | Lexema: 1               | Fila:  11 | Col:  19
Token: SIMBOLO         | Lexema: ;               | Fila:  11 | Col:  20
Token: ID              | Lexema: x               | Fila:  12 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  12 | Col:   2
Token: SIMBOLO         | Lexema: (               | Fila:  12 | Col:   3
Token: ENTERO          | Lexema: 5               | Fila:  12 | Col:   4
Token: OP_ARITMETICO   | Lexema: -               | Fila:  12 | Col:   5
Token: ENTERO          | Lexema: 3               | Fila:  12 | Col:   6
Token: SIMBOLO         | Lexema: )               | Fila:  12 | Col:   7
Token: OP_ARITMETICO   | Lexema: *               | Fila:  12 | Col:   8
Token: SIMBOLO         | Lexema: (               | Fila:  12 | Col:   9
Token: ENTERO          | Lexema: 8               | Fila:  12 | Col:  10
Token: OP_ARITMETICO   | Lexema: /               | Fila:  12 | Col:  11
Token: ENTERO          | Lexema: 2               | Fila:  12 | Col:  12
Token: SIMBOLO         | Lexema: )               | Fila:  12 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  12 | Col:  14
Token: ID              | Lexema: y               | Fila:  13 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  13 | Col:   2
Token: ENTERO          | Lexema: 5               | Fila:  13 | Col:   3
Token: OP_ARITMETICO   | Lexema: +               | Fila:  13 | Col:   4
Token: ENTERO          | Lexema: 3               | Fila:  13 | Col:   5
Token: OP_ARITMETICO   | Lexema: -               | Fila:  13 | Col:   6
Token: ENTERO          | Lexema: 2               | Fila:  13 | Col:   7
Token: OP_ARITMETICO   | Lexema: *               | Fila:  13 | Col:   8
Token: ENTERO          | Lexema: 4               | Fila:  13 | Col:   9
Token: OP_ARITMETICO   | Lexema: /               | Fila:  13 | Col:  10
Token: ENTERO          | Lexema: 7               | Fila:  13 | Col:  11
Token: OP_ARITMETICO   | Lexema: -               | Fila:  13 | Col:  12
Token: ENTERO          | Lexema: 9               | Fila:  13 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  13 | Col:  14
Token: ID              | Lexema: z               | Fila:  14 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  14 | Col:   2
Token: ENTERO          | Lexema: 8               | Fila:  14 | Col:   3
Token: OP_ARITMETICO   | Lexema: /               | Fila:  14 | Col:   4
Token: ENTERO          | Lexema: 2               | Fila:  14 | Col:   5
Token: OP_ARITMETICO   | Lexema: +               | Fila:  14 | Col:   6
Token: ENTERO          | Lexema: 15              | Fila:  14 | Col:   7
Token: OP_ARITMETICO   | Lexema: *               | Fila:  14 | Col:   9
Token: ENTERO          | Lexema: 4               | Fila:  14 | Col:  10
Token: SIMBOLO         | Lexema: ;               | Fila:  14 | Col:  11
Token: ID              | Lexema: y               | Fila:  15 | Col:   1
Token: ASIGNACION      | Lexema: =               | Fila:  15 | Col:   2
Token: REAL            | Lexema: 14.54           | Fila:  15 | Col:   3
Token: SIMBOLO         | Lexema: ;               | Fila:  15 | Col:   8
Token: RESERVADA       | Lexema: if              | Fila:  16 | Col:   1
Token: SIMBOLO         | Lexema: (               | Fila:  16 | Col:   3
Token: ENTERO          | Lexema: 2               | Fila:  16 | Col:   4
Token: OP_RELACIONAL   | Lexema: >               | Fila:  16 | Col:   5
Token: ENTERO          | Lexema: 3               | Fila:  16 | Col:   6
Token: SIMBOLO         | Lexema: )               | Fila:  16 | Col:   7
Token: ID              | Lexema: then            | Fila:  16 | Col:   8
Token: ID              | Lexema: y               | Fila:  17 | Col:   9
Token: ASIGNACION      | Lexema: =               | Fila:  17 | Col:  10
Token: ID              | Lexema: a               | Fila:  17 | Col:  11
Token: OP_ARITMETICO   | Lexema: +               | Fila:  17 | Col:  12
Token: ENTERO          | Lexema: 3               | Fila:  17 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  17 | Col:  14
Token: RESERVADA       | Lexema: else            | Fila:  18 | Col:   3
Token: RESERVADA       | Lexema: if              | Fila:  19 | Col:   7
Token: SIMBOLO         | Lexema: (               | Fila:  19 | Col:   9
Token: ENTERO          | Lexema: 4               | Fila:  19 | Col:  10
Token: OP_RELACIONAL   | Lexema: >               | Fila:  19 | Col:  11
Token: ENTERO          | Lexema: 2               | Fila:  19 | Col:  12
Token: OP_LOGICO       | Lexema: &&              | Fila:  19 | Col:  14
Token: ID              | Lexema: x               | Fila:  19 | Col:  17
Token: OP_RELACIONAL   | Lexema: ==              | Fila:  19 | Col:  18
Token: ENTERO          | Lexema: 8               | Fila:  19 | Col:  20
Token: SIMBOLO         | Lexema: )               | Fila:  19 | Col:  21
Token: ID              | Lexema: then            | Fila:  19 | Col:  22
Token: ID              | Lexema: b               | Fila:  20 | Col:  14
Token: ASIGNACION      | Lexema: =               | Fila:  20 | Col:  15
Token: REAL            | Lexema: 3.2             | Fila:  20 | Col:  16
Token: SIMBOLO         | Lexema: ;               | Fila:  20 | Col:  19
Token: RESERVADA       | Lexema: else            | Fila:  21 | Col:   8
Token: ID              | Lexema: b               | Fila:  22 | Col:  12
Token: ASIGNACION      | Lexema: =               | Fila:  22 | Col:  13
Token: REAL            | Lexema: 5.0             | Fila:  22 | Col:  14
Token: SIMBOLO         | Lexema: ;               | Fila:  22 | Col:  17
Token: RESERVADA       | Lexema: end             | Fila:  23 | Col:   8
