REPORTE DE TOKENS
--------------------------------------------------
Token: RESERVADA       | Lexema: main            | Fila:   1 | Col:   1
Token: SIMBOLO         | Lexema: {               | Fila:   1 | Col:   6
Token: RESERVADA       | Lexema: int             | Fila:   2 | Col:   5
Token: ID              | Lexema: x               | Fila:   2 | Col:   9
Token: SIMBOLO         | Lexema: ,               | Fila:   2 | Col:  10
Token: ID              | Lexema: y               | Fila:   2 | Col:  12
Token: SIMBOLO         | Lexema: ,               | Fila:   2 | Col:  13
Token: ID              | Lexema: z               | Fila:   2 | Col:  15
Token: SIMBOLO         | Lexema: ;               | Fila:   2 | Col:  16
Token: RESERVADA       | Lexema: float           | Fila:   3 | Col:   5
Token: ID              | Lexema: a               | Fila:   3 | Col:  11
Token: SIMBOLO         | Lexema: ,               | Fila:   3 | Col:  12
Token: ID              | Lexema: b               | Fila:   3 | Col:  14
Token: SIMBOLO         | Lexema: ,               | Fila:   3 | Col:  15
Token: ID              | Lexema: c               | Fila:   3 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:   3 | Col:  18
Token: RESERVADA       | Lexema: int             | Fila:   4 | Col:   5
Token: ID              | Lexema: suma            | Fila:   4 | Col:   9
Token: SIMBOLO         | Lexema: ,               | Fila:   4 | Col:  13
Token: ID              | Lexema: mas             | Fila:   4 | Col:  15
Token: SIMBOLO         | Lexema: ;               | Fila:   4 | Col:  18
Token: ID              | Lexema: suma            | Fila:   6 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:   6 | Col:  10
Token: ENTERO          | Lexema: 45              | Fila:   6 | Col:  12
Token: SIMBOLO         | Lexema: ;               | Fila:   6 | Col:  14
Token: ID              | Lexema: x               | Fila:   7 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:   7 | Col:   7
Token: ENTERO          | Lexema: 32              | Fila:   7 | Col:   9
Token: SIMBOLO         | Lexema: ;               | Fila:   7 | Col:  11
Token: ID              | Lexema: x               | Fila:   8 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:   8 | Col:   7
Token: ENTERO          | Lexema: 23              | Fila:   8 | Col:   9
Token: SIMBOLO         | Lexema: ;               | Fila:   8 | Col:  11
Token: ID              | Lexema: y               | Fila:   9 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:   9 | Col:   7
Token: ENTERO          | Lexema: 2               | Fila:   9 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:   9 | Col:  11
Token: ENTERO          | Lexema: 3               | Fila:   9 | Col:  13
Token: OP_ARITMETICO   | Lexema: -               | Fila:   9 | Col:  15
Token: ENTERO          | Lexema: 1               | Fila:   9 | Col:  17
Token: SIMBOLO         | Lexema: ;               | Fila:   9 | Col:  18
Token: ID              | Lexema: z               | Fila:  10 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  10 | Col:   7
Token: ID              | Lexema: y               | Fila:  10 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:  10 | Col:  11
Token: ENTERO          | Lexema: 7               | Fila:  10 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  10 | Col:  14
Token: ID              | Lexema: y               | Fila:  11 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  11 | Col:   7
Token: ID              | Lexema: y               | Fila:  11 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:  11 | Col:  11
Token: ENTERO          | Lexema: 1               | Fila:  11 | Col:  13
Token: SIMBOLO         | Lexema: ;               | Fila:  11 | Col:  14
Token: ID              | Lexema: a               | Fila:  12 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  12 | Col:   7
Token: REAL            | Lexema: 24.0            | Fila:  12 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:  12 | Col:  14
Token: ENTERO          | Lexema: 4               | Fila:  12 | Col:  16
Token: OP_ARITMETICO   | Lexema: -               | Fila:  12 | Col:  18
Token: ENTERO          | Lexema: 1               | Fila:  12 | Col:  20
Token: OP_ARITMETICO   | Lexema: /               | Fila:  12 | Col:  22
Token: ENTERO          | Lexema: 3               | Fila:  12 | Col:  24
Token: OP_ARITMETICO   | Lexema: *               | Fila:  12 | Col:  26
Token: ENTERO          | Lexema: 2               | Fila:  12 | Col:  28
Token: OP_ARITMETICO   | Lexema: +               | Fila:  12 | Col:  30
Token: ENTERO          | Lexema: 34              | Fila:  12 | Col:  32
Token: OP_ARITMETICO   | Lexema: -               | Fila:  12 | Col:  35
Token: ENTERO          | Lexema: 1               | Fila:  12 | Col:  37
Token: SIMBOLO         | Lexema: ;               | Fila:  12 | Col:  38
Token: ID              | Lexema: x               | Fila:  13 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  13 | Col:   7
Token: SIMBOLO         | Lexema: (               | Fila:  13 | Col:   9
Token: ENTERO          | Lexema: 5               | Fila:  13 | Col:  10
Token: OP_ARITMETICO   | Lexema: -               | Fila:  13 | Col:  12
Token: ENTERO          | Lexema: 3               | Fila:  13 | Col:  14
Token: SIMBOLO         | Lexema: )               | Fila:  13 | Col:  15
Token: OP_ARITMETICO   | Lexema: *               | Fila:  13 | Col:  17
Token: SIMBOLO         | Lexema: (               | Fila:  13 | Col:  19
Token: ENTERO          | Lexema: 8               | Fila:  13 | Col:  20
Token: OP_ARITMETICO   | Lexema: /               | Fila:  13 | Col:  22
Token: ENTERO          | Lexema: 2               | Fila:  13 | Col:  24
Token: SIMBOLO         | Lexema: )               | Fila:  13 | Col:  25
Token: SIMBOLO         | Lexema: ;               | Fila:  13 | Col:  26
Token: ID              | Lexema: y               | Fila:  14 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  14 | Col:   7
Token: ENTERO          | Lexema: 5               | Fila:  14 | Col:   9
Token: OP_ARITMETICO   | Lexema: +               | Fila:  14 | Col:  11
Token: ENTERO          | Lexema: 3               | Fila:  14 | Col:  13
Token: OP_ARITMETICO   | Lexema: -               | Fila:  14 | Col:  15
Token: ENTERO          | Lexema: 2               | Fila:  14 | Col:  17
Token: OP_ARITMETICO   | Lexema: *               | Fila:  14 | Col:  19
Token: ENTERO          | Lexema: 4               | Fila:  14 | Col:  21
Token: OP_ARITMETICO   | Lexema: /               | Fila:  14 | Col:  23
Token: ENTERO          | Lexema: 7               | Fila:  14 | Col:  25
Token: OP_ARITMETICO   | Lexema: -               | Fila:  14 | Col:  27
Token: ENTERO          | Lexema: 9               | Fila:  14 | Col:  29
Token: SIMBOLO         | Lexema: ;               | Fila:  14 | Col:  30
Token: ID              | Lexema: z               | Fila:  15 | Col:   5
Token: ASIGNACION      | Lexema: =               | Fila:  15 | Col:   7
Token: ENTERO          | Lexema: 8               | Fila:  15 | Col:   9
Token: OP_ARITMETICO   | Lexema: /               | Fila:  15 | Col:  11
Token: ENTERO          | Lexema: 2               | Fila:  15 | Col:  13
Token: OP_ARITMETICO   | Lexema: +               | Fila:  15 | Col:  15
Token: ENTERO          | Lexema: 15              | Fila:  15 | Col:  17
